# the reading for 3 rounds (include color, reflection, ambient)

DATA LOG STARTING - 3 ROUNDS
Format: Color | Refl | Amb | TurnRate | Notes
Color.WHITE  | 90   | 4    | -54  | [CORNER] 
Color.WHITE  | 89   | 3    | -52  | [CORNER] 
Color.WHITE  | 92   | 4    | -56  | [CORNER] 
Color.WHITE  | 93   | 3    | -57  | [CORNER] 
Color.WHITE  | 93   | 4    | -57  | [CORNER] 
Color.WHITE  | 95   | 3    | -60  | [CORNER] 
Color.WHITE  | 98   | 4    | -63  | [CORNER] 
Color.WHITE  | 100  | 3    | -66  | [CORNER] 
Color.WHITE  | 100  | 3    | -66  | [CORNER] 
Color.BLACK  | 11   | 0    | 40   | [CORNER] 
Color.BLACK  | 6    | 0    | 46   | [CORNER] 
Color.BLACK  | 15   | 1    | 36   | 
Color.BLACK  | 11   | 1    | 40   | [CORNER] 
Color.BLACK  | 8    | 0    | 44   | [CORNER] 
Color.BLACK  | 12   | 0    | 39   | 
Color.BLUE   | 41   | 2    | 4    | [COLOR DETECTED!] 
Color.WHITE  | 83   | 3    | -45  | [CORNER] 
Color.WHITE  | 98   | 3    | -63  | [CORNER] 
Color.WHITE  | 91   | 4    | -55  | [CORNER] 
Color.WHITE  | 87   | 4    | -50  | [CORNER] 
Color.WHITE  | 88   | 3    | -51  | [CORNER] 
Color.WHITE  | 86   | 3    | -49  | [CORNER] 
Color.WHITE  | 48   | 2    | -3   | 
Color.BLUE   | 13   | 1    | 38   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLACK  | 17   | 0    | 33   | 
Color.BLUE   | 13   | 0    | 38   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 17   | 1    | 33   | [COLOR DETECTED!] [GREEN/BLUE LOW REFL] 
Color.BLUE   | 30   | 1    | 18   | [COLOR DETECTED!] 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 53   | 2    | -9   | 
Color.WHITE  | 61   | 3    | -19  | 
Color.WHITE  | 63   | 2    | -21  | 
Color.WHITE  | 52   | 2    | -8   | 
Color.WHITE  | 42   | 2    | 3    | 
Color.WHITE  | 38   | 2    | 8    | 
Color.WHITE  | 37   | 2    | 9    | 
Color.WHITE  | 43   | 2    | 2    | 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 48   | 2    | -3   | 
Color.WHITE  | 56   | 2    | -13  | 
Color.WHITE  | 50   | 2    | -6   | 
Color.WHITE  | 33   | 2    | 14   | 
