light blue station: 
Color Code | Refl | Amb
Color.RED    | 97   | 2   
Color.RED    | 74   | 1   
Color.RED    | 34   | 0   
Color.RED    | 44   | 1   
Color.RED    | 75   | 1   
Color.RED    | 94   | 2   
Color.RED    | 97   | 2   
Color.RED    | 96   | 2   
--- STOPPED ---
Color Code | Refl | Amb
Color.RED    | 96   | 2   
Color.RED    | 94   | 2   
Color.RED    | 89   | 2   
Color.RED    | 76   | 2   
Color.RED    | 78   | 2   
Color.RED    | 91   | 2   
Color.RED    | 91   | 2   
Color.RED    | 92   | 2   
Color.RED    | 92   | 2   
Color.RED    | 92   | 2   
Color.RED    | 70   | 2   
Color.RED    | 70   | 1   
Color.RED    | 91   | 2   
Color.RED    | 92   | 2   
Color.RED    | 81   | 2   
Color.RED    | 69   | 2   
Color.RED    | 82   | 2   
Color.RED    | 97   | 2   
Color.RED    | 98   | 2   
Color.RED    | 84   | 2   
Color.RED    | 78   | 2   
Color.RED    | 98   | 2   
Color.RED    | 98   | 2   
Color.RED    | 86   | 2   
Color.RED    | 84   | 2   
Color.RED    | 95   | 2   
Color.RED    | 80   | 2   
Color.RED    | 84   | 2   
Color.RED    | 98   | 2   
Color.RED    | 100  | 3   
Color.RED    | 98   | 2   
Color.RED    | 100  | 2   
Color.RED    | 98   | 2   
Color.RED    | 98   | 2   

black tape parts: 
Color Code | Refl | Amb
Color.GREEN  | 10   | 0   
Color.GREEN  | 10   | 0   
Color.GREEN  | 10   | 0   
Color.GREEN  | 7    | 0   
Color.BLACK  | 2    | 0   
Color.BLACK  | 2    | 0   
None         | 0    | 0   
Color.BLACK  | 2    | 0   
Color.GREEN  | 10   | 1   
Color.GREEN  | 11   | 0   
Color.BLACK  | 9    | 0   
Color.GREEN  | 9    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 8    | 0   
Color.BLACK  | 4    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 0    | 0   
Color.BLACK  | 1    | 0   
Color.BLACK  | 5    | 0   
Color.BLACK  | 9    | 0   
Color.BLACK  | 10   | 0   
Color.BLACK  | 10   | 1   
Color.BLACK  | 7    | 0   
Color.BLACK  | 3    | 0   
Color.BLACK  | 2    | 0   
Color.BLACK  | 6    | 0   
Color.BLACK  | 12   | 1   
Color.BLACK  | 14   | 0   
Color.BLACK  | 15   | 0   
Color.BLACK  | 15   | 0   
Color.BROWN  | 16   | 1   
Color.BLACK  | 12   | 1   
Color.BLACK  | 7    | 0   
Color.BLACK  | 7    | 0   
Color.BLACK  | 11   | 1   
Color.BLACK  | 12   | 0   
Color.BLUE   | 12   | 0   
Color.BLUE   | 12   | 0   
